BEACON,SECTOR NUMBER,SECTOR TYPE,SECTOR TITLE,FLEET ADVANCEMENT,TOTAL SHIPS DEFEATED,TOTAL SCRAP COLLECTED,TOTAL CREW HIRED,SCORE,HAZARDS,EVENT TEXT,STORE,SCRAP,HULL,FUEL,DRONE PARTS,MISSILES,CREW SIZE,OXYGEN LEVEL,POWER CAPACITY,SHIELDS CAPACITY,SHIELD POWER,SHIELD DAMAGE,ENGINES CAPACITY,ENGINES POWER,ENGINES DAMAGE,OXYGEN SYSTEM CAPACITY,OXYGEN SYSTEM POWER,OXYGEN SYSTEM DAMAGE,WEAPONS SYSTEM CAPACITY,WEAPONS SYSTEM POWER,WEAPONS SYSTEM DAMAGE,WEAPON SLOT 1,WEAPON SLOT 2,WEAPON SLOT 3,WEAPON SLOT 4,DRONE CONTROL SYSTEM CAPACITY,DRONE CONTROL SYSTEM POWER,DRONE CONTROL SYSTEM DAMAGE,DRONE SLOT 1,DRONE SLOT 2,MEDBAY SYSTEM CAPACITY,MEDBAY SYSTEM POWER,MEDBAY SYSTEM DAMAGE,TELEPORTER SYSTEM CAPACITY,TELEPORTER SYSTEM POWER,TELEPORTER SYSTEM DAMAGE,CLOAKING SYSTEM CAPACITY,CLOAKING SYSTEM POWER,CLOAKING SYSTEM DAMAGE,ARTILLERY SYSTEM CAPACITY,ARTILLERY SYSTEM POWER,ARTILLERY SYSTEM DAMAGE,CLONEBAY SYSTEM CAPACITY,CLONEBAY SYSTEM POWER,CLONEBAY SYSTEM DAMAGE,MINDCONTROL SYSTEM CAPACITY,MINDCONTROL SYSTEM POWER,MINDCONTROL SYSTEM DAMAGE,HACKING SYSTEM CAPACITY,HACKING SYSTEM POWER,HACKING SYSTEM DAMAGE,PILOT SYTEM CAPACITY,PILOT SYSTEM DAMAGE,SENSORS SYSTEM CAPACITY,SENSORS SYSTEM DAMAGE,DOORS SYSTEM CAPACITY,DOORS SYSTEM DAMAGE,BATTERY SYSTEM CAPACITY,BATTERY SYSTEM DAMAGE,AUGMENTS,CARGO,CREW MEMBER 1 NAME,CREW MEMBER 1 SPECIES,CREW MEMBER 1 HEALTH,CREW MEMBER 1 PILOT SKILL,CREW MEMBER 1 ENGINE SKILL,CREW MEMBER 1 SHIELD SKILL,CREW MEMBER 1 WEAPON SKILL,CREW MEMBER 1 REPAIR SKILL,CREW MEMBER 1 COMBAT SKILL,CREW MEMBER 1 REPAIRS,CREW MEMBER 1 COMBAT KILLS,CREW MEMBER 1 PILOTED EVASIONS,CREW MEMBER 1 JUMPS SURVIVED,CREW MEMBER 1 SKILLS MASTERED,CREW MEMBER 2 NAME,CREW MEMBER 2 SPECIES,CREW MEMBER 2 HEALTH,CREW MEMBER 2 PILOT SKILL,CREW MEMBER 2 ENGINE SKILL,CREW MEMBER 2 SHIELD SKILL,CREW MEMBER 2 WEAPON SKILL,CREW MEMBER 2 REPAIR SKILL,CREW MEMBER 2 COMBAT SKILL,CREW MEMBER 2 REPAIRS,CREW MEMBER 2 COMBAT KILLS,CREW MEMBER 2 PILOTED EVASIONS,CREW MEMBER 2 JUMPS SURVIVED,CREW MEMBER 2 SKILLS MASTERED,CREW MEMBER 3 NAME,CREW MEMBER 3 SPECIES,CREW MEMBER 3 HEALTH,CREW MEMBER 3 PILOT SKILL,CREW MEMBER 3 ENGINE SKILL,CREW MEMBER 3 SHIELD SKILL,CREW MEMBER 3 WEAPON SKILL,CREW MEMBER 3 REPAIR SKILL,CREW MEMBER 3 COMBAT SKILL,CREW MEMBER 3 REPAIRS,CREW MEMBER 3 COMBAT KILLS,CREW MEMBER 3 PILOTED EVASIONS,CREW MEMBER 3 JUMPS SURVIVED,CREW MEMBER 3 SKILLS MASTERED,CREW MEMBER 4 NAME,CREW MEMBER 4 SPECIES,CREW MEMBER 4 HEALTH,CREW MEMBER 4 PILOT SKILL,CREW MEMBER 4 ENGINE SKILL,CREW MEMBER 4 SHIELD SKILL,CREW MEMBER 4 WEAPON SKILL,CREW MEMBER 4 REPAIR SKILL,CREW MEMBER 4 COMBAT SKILL,CREW MEMBER 4 REPAIRS,CREW MEMBER 4 COMBAT KILLS,CREW MEMBER 4 PILOTED EVASIONS,CREW MEMBER 4 JUMPS SURVIVED,CREW MEMBER 4 SKILLS MASTERED,CREW MEMBER 5 NAME,CREW MEMBER 5 SPECIES,CREW MEMBER 5 HEALTH,CREW MEMBER 5 PILOT SKILL,CREW MEMBER 5 ENGINE SKILL,CREW MEMBER 5 SHIELD SKILL,CREW MEMBER 5 WEAPON SKILL,CREW MEMBER 5 REPAIR SKILL,CREW MEMBER 5 COMBAT SKILL,CREW MEMBER 5 REPAIRS,CREW MEMBER 5 COMBAT KILLS,CREW MEMBER 5 PILOTED EVASIONS,CREW MEMBER 5 JUMPS SURVIVED,CREW MEMBER 5 SKILLS MASTERED,CREW MEMBER 6 NAME,CREW MEMBER 6 SPECIES,CREW MEMBER 6 HEALTH,CREW MEMBER 6 PILOT SKILL,CREW MEMBER 6 ENGINE SKILL,CREW MEMBER 6 SHIELD SKILL,CREW MEMBER 6 WEAPON SKILL,CREW MEMBER 6 REPAIR SKILL,CREW MEMBER 6 COMBAT SKILL,CREW MEMBER 6 REPAIRS,CREW MEMBER 6 COMBAT KILLS,CREW MEMBER 6 PILOTED EVASIONS,CREW MEMBER 6 JUMPS SURVIVED,CREW MEMBER 6 SKILLS MASTERED,NEARBY SHIP TYPE,NEARBY SHIP HULL,NEARBY SHIP FUEL,NEARBY SHIP DRONE PARTS,NEARBY SHIP MISSILES,NEARBY SHIP CREW SIZE,OXYGEN LEVEL,NEARBY SHIP POWER CAPACITY,NEARBY SHIP SHIELDS CAPACITY,NEARBY SHIP SHIELD POWER,NEARBY SHIP SHIELD DAMAGE,NEARBY SHIP ENGINES CAPACITY,NEARBY SHIP ENGINES POWER,NEARBY SHIP ENGINES DAMAGE,NEARBY SHIP OXYGEN SYSTEM CAPACITY,NEARBY SHIP OXYGEN SYSTEM POWER,NEARBY SHIP OXYGEN SYSTEM DAMAGE,NEARBY SHIP WEAPONS SYSTEM CAPACITY,NEARBY SHIP WEAPONS SYSTEM POWER,NEARBY SHIP WEAPONS SYSTEM DAMAGE,NEARBY SHIP WEAPON SLOT 1,NEARBY SHIP WEAPON SLOT 2,NEARBY SHIP WEAPON SLOT 3,NEARBY SHIP WEAPON SLOT 4,NEARBY SHIP DRONE CONTROL SYSTEM CAPACITY,NEARBY SHIP DRONE CONTROL SYSTEM POWER,NEARBY SHIP DRONE CONTROL SYSTEM DAMAGE,DRONE SLOT 1,DRONE SLOT 2,DRONE SLOT 3,NEARBY SHIP MEDBAY SYSTEM CAPACITY,NEARBY SHIP MEDBAY SYSTEM POWER,NEARBY SHIP MEDBAY SYSTEM DAMAGE,NEARBY SHIP TELEPORTER SYSTEM CAPACITY,NEARBY SHIP TELEPORTER SYSTEM POWER,NEARBY SHIP TELEPORTER SYSTEM DAMAGE,NEARBY SHIP CLOAKING SYSTEM CAPACITY,NEARBY SHIP CLOAKING SYSTEM POWER,NEARBY SHIP CLOAKING SYSTEM DAMAGE,NEARBY SHIP ARTILLERY SYSTEM CAPACITY,NEARBY SHIP ARTILLERY SYSTEM POWER,NEARBY SHIP ARTILLERY SYSTEM DAMAGE,NEARBY SHIP CLONEBAY SYSTEM CAPACITY,NEARBY SHIP CLONEBAY SYSTEM POWER,NEARBY SHIP CLONEBAY SYSTEM DAMAGE,NEARBY SHIP MINDCONTROL SYSTEM CAPACITY,NEARBY SHIP MINDCONTROL SYSTEM POWER,NEARBY SHIP MINDCONTROL SYSTEM DAMAGE,NEARBY SHIP HACKING SYSTEM CAPACITY,NEARBY SHIP HACKING SYSTEM POWER,NEARBY SHIP HACKING SYSTEM DAMAGE,NEARBY SHIP PILOT SYTEM CAPACITY,NEARBY SHIP PILOT SYSTEM DAMAGE,NEARBY SHIP SENSORS SYSTEM CAPACITY,NEARBY SHIP SENSORS SYSTEM DAMAGE,NEARBY SHIP DOORS SYSTEM CAPACITY,NEARBY SHIP DOORS SYSTEM DAMAGE,NEARBY SHIP BATTERY SYSTEM CAPACITY,NEARBY SHIP BATTERY SYSTEM DAMAGE,NEARBY SHIP AUGMENTS,ENEMY CREW MEMBER 1 NAME,ENEMY CREW MEMBER 1 SPECIES,ENEMY CREW MEMBER 1 HEALTH,CREW MEMBER 1 REPAIRS,CREW MEMBER 1 COMBAT KILLS,ENEMY CREW MEMBER 2 NAME,ENEMY CREW MEMBER 2 SPECIES,ENEMY CREW MEMBER 2 HEALTH,CREW MEMBER 2 REPAIRS,CREW MEMBER 2 COMBAT KILLS,ENEMY CREW MEMBER 3 NAME,ENEMY CREW MEMBER 3 SPECIES,ENEMY CREW MEMBER 3 HEALTH,CREW MEMBER 3 REPAIRS,CREW MEMBER 3 COMBAT KILLS,ENEMY CREW MEMBER 4 NAME,ENEMY CREW MEMBER 4 SPECIES,ENEMY CREW MEMBER 4 HEALTH,CREW MEMBER 4 REPAIRS,CREW MEMBER 4 COMBAT KILLS,HAS SURRENDERED,HULL DAMAGE NEEDED FOR SURRENDER,IS TRYING TO ESCAPE,HULL DAMAGE NEEDED FOR ESCAPE ATTEMPT,ENEMY BOARDING ATTEMPTS,ENEMY BOARDING STRENGTH
1,1,CIVILIAN,Civilian Sector,0%,0,0,3,15,"","The data you carry is vital to the remaining Federation fleet. You'll need supplies for the journey, so make sure to explore each sector before moving on to the next. But get to the exit before the pursuing Rebel fleet can catch up!  TIP: Sensors -  If the ship goes dark, don't panic. Just fix the Sensors Subsystem.","",10,30,16,0,0,3,100,8,2,2,0,2,1,0,1,1,0,1,0,0,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"CRYSTAL SHARDS","",GM Faux,Crystal,125,0,0,0,0,0,0,0,0,0,0,0,Nikola,Crystal,125,0,0,0,0,0,0,0,0,0,0,0,Stelly,Crystal,125,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,CIVILIAN,Civilian Sector,0%,1,22,3,93,"Asteroid Field","There are no more life-signs remaining on the ship. You strip it of useful materials.","",32,30,17,0,1,3,100,8,2,2,0,2,2,0,1,1,0,1,0,0,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"CRYSTAL SHARDS","",GM Faux,Crystal,4,0,0,0,0,0,0,0,0,0,1,0,Nikola,Crystal,75,0,0,0,0,0,1,0,1,0,1,0,Stelly,Crystal,103,0,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FED_SCOUT_P_DLC,7,16,4,10,0,100,13,3,2,0,2,2,0,1,1,0,3,0,0,LASER BURST 2 A,BEAM 1,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,,false,,0,1
3,1,CIVILIAN,Civilian Sector,0%,1,22,3,108,"","Your jump leads to a remarkable binary star system. The view is beautiful, but there is nothing else around.","",32,28,16,0,1,3,100,8,2,2,0,2,2,0,1,1,0,1,0,0,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"CRYSTAL SHARDS","",GM Faux,Crystal,125,0,0,0,0,0,0,0,0,0,2,0,Nikola,Crystal,125,0,0,0,0,1,1,1,1,0,2,0,Stelly,Crystal,125,0,0,0,0,0,1,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,CIVILIAN,Civilian Sector,0%,1,22,3,123,"","","",32,28,15,0,1,3,100,8,2,2,0,2,2,0,1,1,0,1,0,0,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"CRYSTAL SHARDS","",GM Faux,Crystal,125,0,0,0,0,0,0,0,0,0,3,0,Nikola,Crystal,125,0,0,0,0,1,1,1,1,0,3,0,Stelly,Crystal,125,0,0,0,0,0,1,0,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,CIVILIAN,Civilian Sector,4%,2,44,4,201,"","The ship refuses to fight, but you still detect life signatures. Apparently this was a prisoner transport. The single survivor offers to join your crew in exchange for their freedom.","",54,24,14,0,1,4,86,8,2,2,0,2,2,0,1,0,1,1,0,0,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"CRYSTAL SHARDS","",Stelly,Crystal,97,0,0,0,0,0,1,0,1,0,4,0,Ferry,Mantis,100,0,0,0,0,0,0,0,0,0,0,0,GM Faux,Crystal,15,0,0,0,0,0,0,0,0,0,4,0,Nikola,Crystal,73,0,0,0,0,1,4,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REBEL_SKINNY_P,10,16,0,7,0,100,9,2,2,0,2,2,0,2,2,0,3,0,0,MISSILES 2,LASER HEAVY 1,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,,false,3,0,2
7,1,CIVILIAN,Civilian Sector,13%,2,44,4,231,"","There is only one other ship at this beacon, and it is showing heavy damage. You receive a message on your console: Greetings traveler. We were crippled by a band of pirates and are now forced to sell our remaining valuable equipment to acquire the necessary supplies to get home.","System: drones, battery, hacking, Weapon: MISSILES 3, ION 4, LASER HULL 2, Drone: REPAIR, COMBAT BEAM 2, ANTI DRONE, Augment: ION ARMOR, SHIELD RECHARGE, REPAIR ARM, ",9,23,12,0,1,4,100,8,2,2,0,2,2,0,1,1,0,1,0,0,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,"CRYSTAL SHARDS, ION ARMOR","",GM Faux,Crystal,125,0,0,0,0,0,0,0,0,0,6,0,Nikola,Crystal,125,0,0,0,0,1,4,1,4,0,6,0,Stelly,Crystal,125,0,0,0,0,1,1,1,1,0,6,0,Ferry,Mantis,100,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,CIVILIAN,Civilian Sector,23%,3,59,4,299,"","Searching the remains you find that the cargo was military-grade Drone Schematics! You bring them aboard to install on your ship.","",24,22,11,0,1,4,98,8,2,2,0,2,2,0,1,1,0,1,0,1,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"CRYSTAL SHARDS, ION ARMOR","DEFENSE 2",GM Faux,Crystal,99,0,0,0,0,0,0,0,0,0,7,0,Nikola,Crystal,125,0,0,0,0,2,5,2,5,0,7,0,Stelly,Crystal,60,0,0,0,0,1,1,1,1,0,7,0,Ferry,Mantis,70,0,0,0,0,0,2,0,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REBEL_SKINNY_P_DLC,10,16,0,10,0,100,9,2,2,0,3,3,0,1,1,0,3,0,0,LASER BURST 3,LASER BURST 1,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,,false,3,0,2
11,1,CIVILIAN,Civilian Sector,48%,3,59,4,344,"","","",4,10,8,0,1,4,26,8,2,0,1,2,1,1,1,1,0,1,0,1,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"CRYSTAL SHARDS, ION ARMOR","DEFENSE 2",GM Faux,Crystal,125,0,0,9,0,2,0,2,0,0,10,0,Nikola,Crystal,125,0,0,0,0,5,5,5,5,0,10,0,Stelly,Crystal,110,0,2,0,0,1,1,1,1,0,10,0,Ferry,Mantis,85,3,0,0,0,1,2,1,2,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,CIVILIAN,Civilian Sector,58%,4,80,4,420,"","With the crew dead, you are able to take the fuel out of storage. You also take all the scrap you can manage.","",25,10,12,0,1,4,86,8,2,2,0,2,2,0,1,1,0,1,0,0,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"CRYSTAL SHARDS, ION ARMOR","DEFENSE 2",GM Faux,Crystal,61,0,0,9,0,3,2,3,2,0,11,0,Nikola,Crystal,97,0,0,0,0,6,5,6,5,0,11,0,Stelly,Crystal,49,0,2,0,0,2,1,2,1,0,11,0,Ferry,Mantis,98,3,0,0,0,1,3,1,3,6,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANTIS_SCOUT,7,16,0,10,0,100,14,3,2,0,2,2,0,2,2,0,3,0,0,LASER BURST 3,BOMB STUN,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,,false,,0,2
13,1,CIVILIAN,Civilian Sector,68%,5,98,4,492,"","Their ship goes silent and you are relieved to know that you are still one step ahead of the fleet.","",43,10,13,1,1,4,0,8,2,2,0,2,2,0,1,1,0,1,0,0,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"CRYSTAL SHARDS, ION ARMOR","DEFENSE 2",GM Faux,Crystal,90,0,0,9,0,3,2,3,2,0,12,0,Nikola,Crystal,125,0,0,0,0,6,7,6,6,0,12,0,Stelly,Crystal,125,0,2,0,0,2,2,2,1,0,12,0,Ferry,Mantis,65,3,0,0,0,1,4,1,4,6,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REBEL_SKINNY,10,16,0,10,0,100,10,2,2,0,3,3,0,1,1,0,3,0,2,SHOTGUN,LASER HEAVY 1,,,0,0,0,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,,true,22,1,2
